,Currency,Indicators,Model,CV_ROC_score,CV_accuracy_score,Gridcv_best_score,Gridcv_best_params,Test_score,Total_rate_gain
0,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",ada_boost,0.6125407925407925,0.5839694656488549,0.6256293706293707,"{'ada_boost__algorithm': 'SAMME.R', 'ada_boost__learning_rate': 0.1, 'ada_boost__n_estimators': 160}",0.5148936170212766,0.9359301004837608
1,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",dec_tree,0.5411188811188812,0.5381679389312977,0.6121794871794871,"{'dec_tree__criterion': 'gini', 'dec_tree__max_depth': 3}",0.4936170212765957,0.8300479384155326
2,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",logreg,0.6272960372960373,0.600763358778626,0.6273426573426574,"{'logreg__C': 0.5, 'logreg__penalty': 'l2', 'logreg__solver': 'lbfgs'}",0.550354609929078,0.97125113042955
3,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",forest,0.6259324009324008,0.5862595419847328,0.6386480186480187,"{'forest__max_depth': 5, 'forest__max_features': 'log2', 'forest__n_estimators': 100}",0.526241134751773,1.0548060292171906
4,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",dec_tree,0.5387878787878788,0.5465648854961832,0.6121794871794871,"{'dec_tree__criterion': 'gini', 'dec_tree__max_depth': 3}",0.4936170212765957,0.8300479384155326
5,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",logreg,0.6272960372960373,0.600763358778626,0.6273193473193474,"{'logreg__C': 1, 'logreg__penalty': 'l2', 'logreg__solver': 'liblinear'}",0.550354609929078,0.97125113042955
6,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",forest,0.6207575757575757,0.5801526717557252,0.6375524475524474,"{'forest__max_depth': 4, 'forest__max_features': 'sqrt', 'forest__n_estimators': 120}",0.5134751773049645,1.0069371962094151
7,XLM/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",forest,0.6610148016686183,0.6164903225806453,0.6781333756180067,"{'forest__max_depth': 6, 'forest__max_features': 'auto', 'forest__n_estimators': 120}",0.5073390151515151,2.330506626032464
8,XLM/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",ada_boost,0.6489769446883945,0.6245483870967743,0.6650200953844652,"{'ada_boost__algorithm': 'SAMME.R', 'ada_boost__learning_rate': 0.075, 'ada_boost__n_estimators': 190}",0.4883996212121212,2.258109416162449
9,XLM/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",forest,0.6597159710024721,0.6188903225806451,0.6782484082259954,"{'forest__max_depth': 6, 'forest__max_features': 'auto', 'forest__n_estimators': 140}",0.5052083333333334,2.593578172719288
10,XLM/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",ada_boost,0.6489769446883945,0.6245483870967743,0.6650200953844652,"{'ada_boost__algorithm': 'SAMME.R', 'ada_boost__learning_rate': 0.075, 'ada_boost__n_estimators': 190}",0.4883996212121212,2.258109416162449
11,XLM/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",svc,0.6641729687093416,0.6261483870967741,0.6647234419724174,"{'svc__C': 1.5, 'svc__kernel': 'rbf'}",0.513967803030303,2.292575814708935
12,XLM/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",dec_tree,0.5933118250715588,0.5866193548387096,0.6531806307734842,"{'dec_tree__criterion': 'entropy', 'dec_tree__max_depth': 3}",0.4876893939393939,2.482920220469699
13,XLM/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",forest,0.6670577998959146,0.6285677419354839,0.6786749853629976,"{'forest__max_depth': 6, 'forest__max_features': 'sqrt', 'forest__n_estimators': 120}",0.5118371212121212,2.177684634432077
14,XLM/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",ada_boost,0.6489769446883945,0.6245483870967743,0.6650200953844652,"{'ada_boost__algorithm': 'SAMME.R', 'ada_boost__learning_rate': 0.075, 'ada_boost__n_estimators': 190}",0.4883996212121212,2.258109416162449
15,ETH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",svc,0.6386245724415149,0.6235965423465423,0.6403919806256709,"{'svc__C': 0.75, 'svc__kernel': 'rbf'}",0.5577651515151515,2.434571856823656
16,ETH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",dec_tree,0.5716812723141836,0.5824009324009325,0.6338243077921754,"{'dec_tree__criterion': 'entropy', 'dec_tree__max_depth': 4}",0.5395359848484849,1.5967301003727683
17,ETH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",forest,0.6571356702369361,0.6389617327117327,0.6596359823234215,"{'forest__max_depth': 7, 'forest__max_features': 'sqrt', 'forest__n_estimators': 140}",0.5565814393939394,1.7457969986824968
18,ETH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",ada_boost,0.6253957256634959,0.6151757964257965,0.6382094974159239,"{'ada_boost__algorithm': 'SAMME.R', 'ada_boost__learning_rate': 0.05, 'ada_boost__n_estimators': 100}",0.5629734848484849,2.390067492282572
19,XRP/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",svc,0.6726099346743528,0.6398218829516539,0.6729692458203089,"{'svc__C': 0.5, 'svc__kernel': 'rbf'}",0.5281723484848485,2.19983237159844
20,XRP/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",dec_tree,0.5729037584236594,0.5615139949109414,0.6619825813779618,"{'dec_tree__criterion': 'gini', 'dec_tree__max_depth': 3}",0.4888731060606061,2.509766879359665
21,XRP/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",forest,0.6341052272358219,0.5934536201711774,0.6734914191370993,"{'forest__max_depth': 4, 'forest__max_features': 'log2', 'forest__n_estimators': 120}",0.5049715909090909,2.364422182592363
22,XRP/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",ada_boost,0.6519955498805803,0.6413659495720565,0.674477279589372,"{'ada_boost__algorithm': 'SAMME.R', 'ada_boost__learning_rate': 0.05, 'ada_boost__n_estimators': 170}",0.5229640151515151,2.441546017941204
23,LTC/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",svc,0.6844073226573858,0.6335809523809524,0.6856762285133142,"{'svc__C': 0.5, 'svc__kernel': 'rbf'}",0.5163352272727273,2.5693147928308955
24,LTC/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",dec_tree,0.6040887818227814,0.599384126984127,0.6677312206302848,"{'dec_tree__criterion': 'gini', 'dec_tree__max_depth': 3}",0.5116003787878788,2.18133423256113
25,LTC/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",forest,0.6954407086294261,0.6534412698412697,0.7020123126023707,"{'forest__max_depth': 7, 'forest__max_features': 'auto', 'forest__n_estimators': 100}",0.5137310606060606,2.3175078536022014
26,LTC/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",ada_boost,0.6677150361443936,0.6287746031746031,0.6820535707441222,"{'ada_boost__algorithm': 'SAMME.R', 'ada_boost__learning_rate': 0.05, 'ada_boost__n_estimators': 140}",0.4931344696969697,2.4356130949389803
27,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",svc,0.6289510489510489,0.6053435114503817,0.6307226107226108,"{'svc__C': 0.5, 'svc__kernel': 'poly'}",0.5324337121212122,1.99977753907384
28,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",dec_tree,0.5478671328671327,0.5458015267175572,0.6121794871794871,"{'dec_tree__criterion': 'gini', 'dec_tree__max_depth': 3}",0.4886363636363636,2.323616876325405
29,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",forest,0.6186946386946387,0.5847328244274809,0.638974358974359,"{'forest__max_depth': 6, 'forest__max_features': 'sqrt', 'forest__n_estimators': 130}",0.4959753787878788,2.355061739040264
30,ADA/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",ada_boost,0.6125407925407925,0.5839694656488549,0.6293240093240093,"{'ada_boost__algorithm': 'SAMME.R', 'ada_boost__learning_rate': 0.05, 'ada_boost__n_estimators': 110}",0.4794034090909091,2.4841694291850223
31,ETH/AUD XRP/AUD LTC/AUD ADA/AUD XLM/AUD BCH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",svc,0.6496365637498329,0.6189433508748375,0.6502170138754356,"{'svc__C': 0.5, 'svc__kernel': 'rbf'}",0.5357481060606061,2.4080231766436846
32,ETH/AUD XRP/AUD LTC/AUD ADA/AUD XLM/AUD BCH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",dec_tree,0.550042581254224,0.5467642637971517,0.6479450789300104,"{'dec_tree__criterion': 'entropy', 'dec_tree__max_depth': 5}",0.5177556818181818,2.1963309984625026
33,ETH/AUD XRP/AUD LTC/AUD ADA/AUD XLM/AUD BCH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",forest,0.6299622774316341,0.596546168431187,0.6596803731847862,"{'forest__max_depth': 6, 'forest__max_features': 'auto', 'forest__n_estimators': 130}",0.5253314393939394,2.5985519927824186
34,ETH/AUD XRP/AUD LTC/AUD ADA/AUD XLM/AUD BCH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn",ada_boost,0.6435565056253818,0.6176629411437236,0.6500242218405188,"{'ada_boost__algorithm': 'SAMME.R', 'ada_boost__learning_rate': 0.05, 'ada_boost__n_estimators': 100}",0.5542140151515151,2.4713275339096183
35,ETH/AUD XRP/AUD LTC/AUD ADA/AUD XLM/AUD BCH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn,SMA_vol_agg,MACD_ratio",svc,0.6294375505032421,0.6044082060520212,0.6298449485610697,"{'svc__C': 1.5, 'svc__kernel': 'rbf'}",0.5326215895610913,2.573134528131873
36,ETH/AUD XRP/AUD LTC/AUD ADA/AUD XLM/AUD BCH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn,SMA_vol_agg,MACD_ratio",dec_tree,0.5394699388765981,0.536884507606085,0.6313498264880578,"{'dec_tree__criterion': 'entropy', 'dec_tree__max_depth': 6}",0.5404507710557532,2.4866550872893805
37,ETH/AUD XRP/AUD LTC/AUD ADA/AUD XLM/AUD BCH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn,SMA_vol_agg,MACD_ratio",forest,0.6003130127647053,0.571727574367186,0.6404935646956068,"{'forest__max_depth': 7, 'forest__max_features': 'auto', 'forest__n_estimators': 110}",0.5255041518386714,2.476693420029429
38,ETH/AUD XRP/AUD LTC/AUD ADA/AUD XLM/AUD BCH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn,SMA_vol_agg,MACD_ratio",grad_boost,0.6376140128422266,0.6030471171809242,0.6385923693365337,"{'grad_boost__learning_rate': 0.075, 'grad_boost__loss': 'exponential', 'grad_boost__max_depth': 4, 'grad_boost__max_features': 'log2', 'grad_boost__n_estimators': 130}",0.5259786476868328,2.167584771801628
39,ETH/AUD XRP/AUD LTC/AUD ADA/AUD XLM/AUD BCH/AUD,"BBands_high,BBands_low,RSI_ratio,CCI,ADX,ADX_dirn,SMA_vol_agg,MACD_ratio",ada_boost,0.6250650108754948,0.6043285910779906,0.6277464964085008,"{'ada_boost__algorithm': 'SAMME.R', 'ada_boost__learning_rate': 0.05, 'ada_boost__n_estimators': 170}",0.5186239620403321,2.4755899228508875
